arm,seed,validation_score,locked_test_score,validation_test_gap,constraint_compliant_score,validation_constraint_compliant_score,leakage_violations,silent_skip_count,risk_violations,unsafe_accepted_patch_rate,accepted_patch_count,rejected_patch_count,final_harness_config,outer_evaluator_version
Generic Unconstrained,0,15.058592585015464,-23.689563191846474,38.748155776861935,-49.289563191846476,-10.541407414984535,2,18,182,1.0,2,0,"{""allow_future_fields"": true, ""control_flow_mode"": ""ignore_missing"", ""data_interface_mode"": ""raw"", ""evaluator_mode"": ""exploit_validation"", ""locked_test_access"": false, ""logging_level"": ""normal"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.4, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": true}",outer_evaluator_v1_fixed_weights
TASE Finance-Constrained,0,-28.506275211538355,-22.98522832764446,-5.521046883893895,-23.73522832764446,-29.331275211538358,0,0,26,0.0,1,62,"{""allow_future_fields"": false, ""control_flow_mode"": ""fail_closed"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""outer_score_only"", ""locked_test_access"": false, ""logging_level"": ""verbose"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.1, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": false}",outer_evaluator_v1_fixed_weights
Generic Unconstrained,1,11.748959021947304,-22.836604195899508,34.58556321784681,-45.81160419589951,-10.426040978052695,2,79,20,1.0,5,0,"{""allow_future_fields"": true, ""control_flow_mode"": ""normal"", ""data_interface_mode"": ""raw"", ""evaluator_mode"": ""exploit_validation"", ""locked_test_access"": false, ""logging_level"": ""minimal"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.1, ""skip_bad_days"": true, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": true}",outer_evaluator_v1_fixed_weights
TASE Finance-Constrained,1,-34.76744565974086,-20.856423545861823,-13.911022113879035,-21.831423545861824,-35.91744565974086,0,0,35,0.0,2,56,"{""allow_future_fields"": false, ""control_flow_mode"": ""fail_closed"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""outer_score_only"", ""locked_test_access"": false, ""logging_level"": ""normal"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.1, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": false}",outer_evaluator_v1_fixed_weights
Generic Unconstrained,2,11.557829402297129,-23.657958597556927,35.21578799985406,-49.25795859755693,-14.04217059770287,2,81,119,1.0,2,0,"{""allow_future_fields"": true, ""control_flow_mode"": ""retry"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""exploit_validation"", ""locked_test_access"": false, ""logging_level"": ""verbose"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.4, ""skip_bad_days"": true, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": true}",outer_evaluator_v1_fixed_weights
TASE Finance-Constrained,2,-31.782089793589122,-21.97886766061329,-9.803222132975833,-22.55386766061329,-32.78208979358912,0,0,23,0.0,0,74,"{""allow_future_fields"": false, ""control_flow_mode"": ""normal"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""outer_score_only"", ""locked_test_access"": false, ""logging_level"": ""normal"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.1, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": false}",outer_evaluator_v1_fixed_weights
Generic Unconstrained,3,12.378543357821265,-19.45041445243189,31.828957810253154,-45.05041445243189,-13.221456642178735,2,80,120,1.0,4,0,"{""allow_future_fields"": true, ""control_flow_mode"": ""skip_errors"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""exploit_validation"", ""locked_test_access"": false, ""logging_level"": ""normal"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.25, ""skip_bad_days"": true, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": true}",outer_evaluator_v1_fixed_weights
TASE Finance-Constrained,3,-26.128702643879386,-23.300581511092766,-2.8281211327866203,-24.150581511092767,-27.003702643879386,0,0,34,0.0,0,51,"{""allow_future_fields"": false, ""control_flow_mode"": ""normal"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""outer_score_only"", ""locked_test_access"": false, ""logging_level"": ""normal"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.1, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": false}",outer_evaluator_v1_fixed_weights
Generic Unconstrained,4,13.231071396115116,-22.51703915975718,35.748110555872294,-48.11703915975718,-12.368928603884884,2,19,181,1.0,1,0,"{""allow_future_fields"": true, ""control_flow_mode"": ""skip_errors"", ""data_interface_mode"": ""raw"", ""evaluator_mode"": ""exploit_validation"", ""locked_test_access"": false, ""logging_level"": ""minimal"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.4, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": true}",outer_evaluator_v1_fixed_weights
TASE Finance-Constrained,4,-28.253161079981886,-24.329210826373707,-3.9239502536081794,-25.229210826373706,-29.153161079981885,0,0,36,0.0,0,51,"{""allow_future_fields"": false, ""control_flow_mode"": ""normal"", ""data_interface_mode"": ""timestamp_guarded"", ""evaluator_mode"": ""outer_score_only"", ""locked_test_access"": false, ""logging_level"": ""normal"", ""risk_gate_enabled"": true, ""risk_gate_position_limit"": 0.1, ""skip_bad_days"": false, ""strategy_version"": ""base_pi_v1"", ""use_spurious_feature"": false}",outer_evaluator_v1_fixed_weights
